Magical Recipe Name,Magical Effect,Magical Ingredients,Required Spells,Cooking Steps,Special Notes
Contortion Potion Surprise,Induced contortion,"[""1 1/2 c. (can) corn"", ""3/4 c. (can) tomatoes"", ""1/3 c. corn meal"", ""2 c. grated sharp Cheddar cheese"", ""1 green pepper"", ""1 chopped onion"", ""2 beaten eggs"", ""3/4 c. milk"", ""salt and pepper to taste""], Contortion Potion",Serpensortia,"[""Mix corn, tomatoes, corn meal, cheese, onion and green pepper. Let stand 30 minutes."", ""Add eggs, milk and seasoning."", ""Pour into buttered baking dish at 325\u00b0 for 1 1/4 hours or until firm in the center."", ""This may be served from the dish or may be baked in a loaf and unmolded onto a platter."", ""Buttered peas may be used as a garnish with sections of hard-cooked eggs on the platter.""]",Handle Contortion Potion with care due to its induced contortion.
Baneberry Potion Surprise,Poison,"[""1 c. or 2 sticks oleo"", ""4 Tbsp. cocoa"", ""1 c. water"", ""2 c. sugar"", ""2 c. flour"", ""2 eggs"", ""1 tsp. baking soda"", ""milk"", ""vinegar"", ""vanilla"", ""cinnamon"", ""powdered sugar""], Baneberry Potion",Alohomora,"[""Bring to boil first 3 ingredients, then add 2 cups sugar and 2 cups flour."", ""Blend well and add eggs, 1/2 cup sour milk (fresh milk + 1 teaspoon vinegar), soda, 1 teaspoon vanilla and 1/2 teaspoon cinnamon."", ""Bake under a charm at 400\u00b0 for 20 minutes.""]",Handle Baneberry Potion with care due to its poison.
Contortion Potion Surprise,Induced contortion,"[""1 large can pork and beans"", ""1/2 lb. bacon"", ""1 medium green pepper"", ""1 medium onion"", ""1/2 c. syrup"", ""1/2 c. catsup""], Contortion Potion",Rictusempra,"[""Brown bacon, pepper and onion in skillet."", ""Drain grease and break up bacon."", ""Add beans, catsup and syrup to skillet."", ""Let simmer 45 minutes.""]",Handle Contortion Potion with care due to its induced contortion.
Alihotsy Draught Surprise,Uncontrollable laughter,"[""1 c. cottage cheese"", ""1 (8 oz.) pkg. cream cheese"", ""1 pkg. dry Ranch dressing mix"", ""1/2 c. mayonnaise"", ""2 pkg. crescent rolls"", ""1/2 c. onion, broccoli, cauliflower, tomatoes and mushrooms""], Alihotsy Draught",Obliviate,"[""Mix together cottage cheese, cream cheese, Ranch dressing mix and mayo."", ""Spread crescent rolls on 8 x 10-inch sheet."", ""Put in oven as directed for 10 minutes."", ""Let cool."", ""Spread on first mixture."", ""Spread mixture of veggies over cold dough."", ""Sprinkle Parmesan cheese and oregano over all."", ""Heat and serve. Delightful.""]",Handle Alihotsy Draught with care due to its uncontrollable laughter.
Fake protective potions Surprise,Supposedly protect the drinker from the effects of dark magic (likely useless),"[""1/4 c. sugar"", ""1 c. water"", ""1 3/4 c. frozen strawberry slices"", ""1 (6 oz.) can frozen lemonade"", ""1/2 c. water"", ""1 3/4 c. ice cubes""], Fake protective potions",Engorgio,"[""Heat 1 cup water."", ""Add sugar, stirring until sugar is dissolved. Transfer to blender and add rest of ingredients, blending until ice cubes are crushed."", ""Serve immediately.""]",Handle Fake protective potions with care due to its supposedly protect the drinker from the effects of dark magic (likely useless).
Confusing Concotion Surprise,Confusion,"[""3 doz. oysters, cleaned and shucked"", ""1 c. toasted, crushed crackers"", ""1 stick butter"", ""1/2 pt. cream (half and half)"", ""salt and pepper"", ""parsley""], Confusing Concotion",Disapparate,"[""Salt and pepper the oysters and place a layer in bottom of a buttered baking dish."", ""Cover with a layer of cracker crumbs and dot with butter."", ""Continue to layer until dish is full."", ""Sprinkle with parsley flakes and pour the cream over."", ""Bake under a charm 15 minutes at 400\u00b0.""]",Handle Confusing Concotion with care due to its confusion.
Grand Wiggenweld Potion Surprise,"Heals injuries, restores stamina","[""3 Tbsp. vegetable oil"", ""3 Tbsp. wine vinegar"", ""3 Tbsp. water"", ""3 Tbsp. mayonnaise"", ""1/2 c. celery, diced"", ""1 tsp. Poupon mustard"", ""1 Tbsp. Worcestershire sauce"", ""1/2 c. green pepper or red"", ""1/4 c. pimento"", ""2 tsp. sugar"", ""salt and pepper"", ""2 c. cooked macaroni"", ""8 oz. Cheddar cheese"", ""2 tsp. onion (if desired)""], Grand Wiggenweld Potion",Evanesco,"[""Combine first 8 ingredients in salad bowl until smooth."", ""Add remaining; mix thoroughly."", ""Chill.""]","Handle Grand Wiggenweld Potion with care due to its heals injuries, restores stamina."
Hiccoughing Solution Surprise,Presumably causes hiccoughs,"[""1 loaf Italian bread (unsliced)"", ""1/2 tsp. oregano"", ""1 Tbsp. Parmesan cheese"", ""1/2 tsp. garlic powder"", ""1 Tbsp. parsley flakes"", ""1 stick butter or oleo, softened""], Hiccoughing Solution",Obliviate,"[""Mix together garlic powder, parsley flakes, Parmesan cheese and oregano."", ""Cut bread in half lengthwise."", ""Spread oleo or butter mixture over both halves of bread."", ""Cut halves into 1-inch slices. Don't cut all the way through the crust."", ""Wrap each half in foil and bake in a preheated 350\u00b0 oven for about 15 minutes."", ""Serve at once."", ""Serves 10 to 12.""]",Handle Hiccoughing Solution with care due to its presumably causes hiccoughs.
Fatiguing Fusion Surprise,Causes fatigue,"[""1/2 lb. puffed raisins"", ""1/2 lb. currants"", ""1 lb. figs"", ""1/2 lb. citron"", ""1/2 lb. candid cherries"", ""1/2 lb. pineapple"", ""1/2 lb. lemon peel"", ""1/4 lb. orange peel"", ""1 lb. pecans"", ""8 eggs"", ""2 c. shortening"", ""2 tsp. cinnamon"", ""6 3/4 c. cake flour"", ""1 c. sweet milk"", ""1 c. light jelly"", ""3 tsp. baking powder"", ""2 tsp. vanilla"", ""1 tsp. salt"", ""3 c. light brown sugar""], Fatiguing Fusion",Glisseo,"[""Cut cherries into halves."", ""Slice rest of fruit."", ""Finely chop pecans."", ""Cream shortening, adding sugar gradually."", ""Cream well. Beat eggs until very light."", ""Add and beat well."", ""Sift flour once before measuring, then sift flour, baking powder, salt and cinnamon together."", ""Dredge fruit and nuts with 1/2 this mixture. Add remainder to creamed mixture alternately with milk."", ""Add vanilla."", ""Stir into the fruit and nut mix well."", ""Line greased pans with heavy paper."", ""Fill cake pans and bake at 300\u00b0."", ""Keep pans covered first half of baking."", ""Enchant with Glisseo, then cook 2 to 3 hours."", ""Yum, yum.""]",Handle Fatiguing Fusion with care due to its causes fatigue.
Baruffio's Brain Elixir Surprise,Allegedly increases one's brain power,"[""1 1/2 c. flour"", ""1/2 tsp. vanilla"", ""1 1/4 c. sugar"", ""2/3 c. oil"", ""1 1/2 tsp. baking soda"", ""2 eggs"", ""1 1/2 tsp. cinnamon"", ""1 small can crushed pineapple"", ""2 jars baby food carrots"", ""1 c. nuts""], Baruffio's Brain Elixir",Fidelius Charm,"[""Mix all ingredients together. Bake under a charm at 350 degrees, 40-45 minutes.""]",Handle Baruffio's Brain Elixir with care due to its allegedly increases one's brain power.
Anti-Paralysis Potion Surprise,Cured paralysis,"[""hamburg"", ""dill pickles"", ""oleo or shortening"", ""1 (8 oz.) can tomato sauce (with mushrooms)"", ""salt"", ""pepper"", ""onion""], Anti-Paralysis Potion",Wingardium Leviosa,"[""Prepare hamburg for patties with salt and a little pepper. Make individual patties."", ""Place a slice of dill pickle and a thin slice of onion."", ""Fold patty over and seal."", ""Brown in a little oleo or shortening."", ""Pour the tomato sauce over the patties. Simmer 30 to 45 minutes.""]",Handle Anti-Paralysis Potion with care due to its cured paralysis.
Calming Draught Surprise,Calms the drinker,"[""1 pkg. each: strawberry and cherry Kool-Aid"", ""1/2 c. sugar or to taste"", ""6 oz. frozen lemonade"", ""6 oz. frozen orange juice""], Calming Draught",Bombardo,"[""Mix frozen juices according to directions."", ""Add other ingredients and stir until dissolved."", ""Stir into 2 quarts of cold water."", ""Chill."", ""When ready to serve, add 1 bottle ginger ale. Makes 1 gallon.""]",Handle Calming Draught with care due to its calms the drinker.
Dragon dung fertiliser Surprise,Promotes the growth of plants,"[""1 egg"", ""2/3 c. sugar"", ""1 c. molasses"", ""2/3 c. shortening"", ""3 1/2 c. hot water"", ""4 1/2 c. flour"", ""2 tsp. baking soda"", ""1/4 tsp. cinnamon"", ""1/4 tsp. cloves"", ""1/4 tsp. ginger"", ""1/2 tsp. salt""], Dragon dung fertiliser",Petrificus Totalus,"[""Mix together the first 5 ingredients."", ""Combine remaining dry ingredients together and add to molasses mixture."", ""Mix well."", ""Let set overnight in refrigerator."", ""Roll out and bake at 350\u00b0 for 12 minutes.""]",Handle Dragon dung fertiliser with care due to its promotes the growth of plants.
Bruise removal paste Surprise,Healed bruises in an hour,"[""1 box yellow cake mix"", ""4 eggs"", ""1 small box vanilla instant pudding"", ""1 (4 oz.) pkg. German sweet chocolate, grated"", ""1/2 c. oil"", ""1/2 c. water"", ""8 oz. sour cream"", ""6 oz. pkg. chocolate chips"", ""1/2 c. chopped pecans""], Bruise removal paste",Reducto,"[""Combine the first 7 ingredients in a large bowl."", ""Beat at medium speed for 4 minutes."", ""Stir in chocolate chips and nuts. Bake under a charm in greased and floured tube pan at 350\u00b0 for 55 minutes."", ""Cool in pan for 10 minutes before removing.""]",Handle Bruise removal paste with care due to its healed bruises in an hour.
Laugh-inducing Potion Surprise,Provoked uncontrollable laughter,"[""1 head cabbage, shredded fine"", ""1 large onion, sliced thin"", ""1/2 c. sugar"", ""1 tsp. celery seed"", ""1 1/2 tsp. salt"", ""1 c. vinegar"", ""1 tsp. prepared mustard"", ""3/4 c. salad oil""], Laugh-inducing Potion",Spongify,"[""Place alternate layers of cabbage and onions in a large bowl. Cover with sugar and celery seed."", ""Boil together vinegar, salt and mustard."", ""Add oil; heat again to boiling."", ""Pour over cabbage and onions."", ""Do not mix."", ""Refrigerate at least 4 hours."", ""Better after 24 hours."", ""Stir and serve."", ""Keeps well.""]",Handle Laugh-inducing Potion with care due to its provoked uncontrollable laughter.
Fire-Protection Potion Surprise,Protects drinker from fire,"[""6 medium potatoes"", ""1/2 head lettuce"", ""2 large tomatoes"", ""1 jar nacho cheese"", ""2 c. flour"", ""salt and pepper to taste"", ""Crisco oil""], Fire-Protection Potion",Homenum Revelio,"[""Cut potatoes in wedges; roll in flour, then pour in oil in fry skillet."", ""Place potatoes in oil and cook until brown."", ""Place on paper towel to drain excess oil."", ""Dice lettuce and tomatoes. Place on plate, then add potatoes on top."", ""Heat cheese in microwave oven, then pour over top of all your ingredients. Serves 4.""]",Handle Fire-Protection Potion with care due to its protects drinker from fire.
Dragon dung fertiliser Surprise,Promotes the growth of plants,"[""5 c. self-rising flour (sift flour before measuring)"", ""1/3 c. sugar"", ""1 tsp. soda"", ""1 c. shortening"", ""2 c. buttermilk (room temperature)"", ""2 pkg. dried yeast, dissolved in 1/4 c. warm water""], Dragon dung fertiliser",Stupefy,"[""Sift together flour, sugar and soda; chop in shortening."", ""Add butter and dissolved yeast."", ""Stir well."", ""Keep covered in refrigerator at least 1 or 2 hours (better overnight) before using.""]",Handle Dragon dung fertiliser with care due to its promotes the growth of plants.
Fire-Protection Potion Surprise,Protects drinker from fire,"[""chocolate cake mix"", ""chocolate instant pudding (3 oz.)"", ""2 eggs"", ""2/3 c. chocolate chips"", ""1 1/3 c. water"", ""1/4 c. oil""], Fire-Protection Potion",Riddikulus,"[""Swirl oil in a 9 x 13-inch pan."", ""Add rest of ingredients and mix well."", ""Bake under a charm at 350\u00b0 for 25 to 30 minutes.""]",Handle Fire-Protection Potion with care due to its protects drinker from fire.
Fungiface Potion Surprise,Causes the drinker's face to break out in fungi,"[""1 box confectioners sugar"", ""1/2 c. cocoa"", ""1/4 tsp. salt"", ""1/4 c. milk"", ""1 Tbsp. vanilla"", ""1/2 c. butter"", ""1 c. chopped nuts""], Fungiface Potion",Rictusempra,"[""In 1 1/2-quart bowl stir sugar, cocoa, salt, milk and vanilla together until partially blended."", ""Put butter on top in center of dish."", ""Microwave on High for 2 minutes."", ""Stir until smooth."", ""Blend in nuts (optional)."", ""Pour into well buttered rectangular dish. Chill for 20 to 30 minutes in freezer."", ""Cut into squares."", ""Makes 36 squares.""]",Handle Fungiface Potion with care due to its causes the drinker's face to break out in fungi.
Exploding Potion Surprise,Volatile mixture,"[""1 can cream of chicken soup"", ""1 can cream of mushroom soup"", ""1 c. milk"", ""1 medium onion, chopped"", ""1 medium size can green chili salsa"", ""1 c. sour cream"", ""1 (2 lb.) pkg. grated cheese (Cheddar)"", ""1 pkg. chicken breasts"", ""1 pkg. corn tortillas""], Exploding Potion",Conjunctivitis Curse,"[""Bake under a charm the chicken ahead of time so skin and bones can be removed."", ""Cut chicken into cubes."", ""Cut about 7 tortillas into strips."", ""Make gravy of the first 6 ingredients.""]",Handle Exploding Potion with care due to its volatile mixture.
Herbicide Potion Surprise,Killed or damaged plants,"[""1 c. mashed potato flakes"", ""1 1/4 c. (9 1/4 oz. can) drained tuna"", ""1 egg"", ""1/2 c. milk"", ""1/3 c. finely chopped celery"", ""2 Tbsp. chopped pimiento"", ""1 Tbsp. minced onion or 1/4 c. chopped onion"", ""1/2 tsp. salt"", ""1/4 tsp. garlic powder"", ""1/3 c. finely crushed corn flakes"", ""1 tsp. seasoned salt""], Herbicide Potion",Lumos,"[""In medium bowl, combine potato flakes, tuna, egg, milk, celery, pimiento, onion, salt and garlic powder. Stir by hand until combined. Form into 12 balls. Combine corn flake crumbs and seasoned salt. Roll each tuna ball in the crumbs. Place on ungreased cookie sheet. Bake under a charm at 350\u00b0 for 20 to 25 minutes or until light golden brown. Serve hot with sauce.""]",Handle Herbicide Potion with care due to its killed or damaged plants.
Emerald Potion Surprise,"Induced fear, delirium, intense stomach pain and extreme thirst in the drinker","[""1/2 lb. sliced fresh mushrooms"", ""1 tsp. butter or margarine"", ""salt and pepper"", ""1/4 c. vinegar and oil dressing"", ""1/2 bunch fresh chopped dill""], Emerald Potion",Serpensortia,"[""Lightly saute mushrooms in butter."", ""Do not brown."", ""Season with salt and pepper to taste and drain."", ""Mix with remaining ingredients and marinate overnight or longer in refrigerator. Serve cold."", ""Makes 6 servings.""]","Handle Emerald Potion with care due to its induced fear, delirium, intense stomach pain and extreme thirst in the drinker."
Cure for Boils Surprise,Removes boils,"[""3 cans cream of celery soup"", ""3 cans milk"", ""1/2 tsp. Old Bay seasoning"", ""1 box cooked, chopped broccoli"", ""1 stick butter"", ""1 lb. crab meat""], Cure for Boils",Incendio,"[""Mix and heat ingredients and add crab meat at the end.""]",Handle Cure for Boils with care due to its removes boils.
Love Potion Antidote Surprise,Served as an antidote for love potions,"[""2 (3 oz.) pkg. apricot jello"", ""1 (15 oz.) can crushed pineapple"", ""1 (12 oz.) pkg. Cool Whip"", ""2 c. buttermilk""], Love Potion Antidote",Spongify,"[""Combine jello and pineapple and microwave in bowl until jello melts."", ""Let cool."", ""Add Cool Whip to buttermilk; stir well."", ""Add jello mix when cooled."", ""Stir well and refrigerate.""]",Handle Love Potion Antidote with care due to its served as an antidote for love potions.
Felix Felicis Surprise,Makes the drinker lucky,"[""2 c. flour"", ""2 Tbsp. baking powder"", ""1 1/2 tsp. salt"", ""3 Tbsp. firmly packed brown sugar"", ""2/3 c. instant nonfat dry milk"", ""2 c. quick oats"", ""1/2 c. shortening"", ""2 beaten eggs"", ""1 c. water""], Felix Felicis",Locomotor Mortis,"[""Combine flour, baking powder, salt, brown sugar, nonfat dry milk and oats in medium bowl."", ""Mix thoroughly, breaking up brown sugar to distribute evenly."", ""Cut in shortening until mixture is crumbly."", ""Combine eggs and water; add to flour mixture."", ""Stir just until blended."", ""Drop by heaping teaspoonfuls onto cookie sheet. Bake under a charm in 400\u00b0 oven for 8 to 10 minutes, or until lightly browned. Makes 2 dozen drop biscuits.""]",Handle Felix Felicis with care due to its makes the drinker lucky.
